t,comp1,comp2,comp3,blend
0.0,1.0,1.0,1.0,1.0
0.05,0.9193689472454544,0.9090616579945453,0.8965018959394676,0.908310833726489
0.1,0.6904785223184307,0.6527861960715837,0.6074312988461209,0.6502320057453784
0.15000000000000002,0.3502400770735307,0.27778414543902724,0.19262472619757376,0.2735496495700439
0.2,-0.04647882043391293,-0.14774036443678368,-0.2620544343642291,-0.1520912064116419
0.25,-0.4357024454966048,-0.5463943467342689,-0.6624893206913263,-0.5481953709740667
0.30000000000000004,-0.7546637768230546,-0.8456719370854188,-0.9257914297146195,-0.8420423812076976
0.35000000000000003,-0.9519264385475755,-0.9911415197583902,-0.9974582232760072,-0.9801753938606576
0.4,-0.995679438502144,-0.9563455694321729,-0.8626549468600879,-0.9382266515981349
0.45,-0.8788670757917476,-0.7476126581691069,-0.5492853675272518,-0.7252550338293687
0.5,-0.6203267579765562,-0.4029064357136628,-0.12221579993988999,-0.3818163312100364
0.55,-0.26175124106643627,0.015079073236037596,0.33015197480751246,0.027826602325704598
0.6000000000000001,0.1390348320976742,0.430322050347609,0.7141795426660785,0.4278454750371206
0.65,0.5173998554986107,0.767299479885182,0.9503746532751299,0.7450246628863075
0.7000000000000001,0.812327888811742,0.9647230243779431,0.9898458143618584,0.9222989091838478
0.75,0.9762582164113371,0.9866859442078679,0.8244226452511761,0.9291222686234604
0.8,0.9827550885118901,0.8291936963450934,0.4883471146843623,0.7667652998471152
0.8500000000000001,0.8307708058392425,0.5208904485883238,0.05118558313102285,0.46761561251952966
0.9,0.5448146738214751,0.11784937330935558,-0.39657117004090386,0.08869762569664229
0.9500000000000001,0.17100058039100693,-0.30662575519988283,-0.7622391947642296,-0.2992881231910352
1.0,-0.23038942667659007,-0.6753328081210243,-0.9701265964901058,-0.6252829437625734
1.05,-0.5946263497112886,-0.9212125692973395,-0.9772014713451368,-0.831013463451255
1.1,-0.8629725756003608,-0.9995452431006846,-0.7819993470613995,-0.881505721920815
1.1500000000000001,-0.9921540269515141,-0.8960839425699981,-0.42492632318280393,-0.7710547642347719
1.2000000000000002,-0.9613386309271432,-0.6296458659692596,0.02010483832545803,-0.5236265528569816
1.25,-0.7754957431722354,-0.2486898871648556,0.4609743745354615,-0.18773708526720978
1.3,-0.4645947790600334,0.1774969836641413,0.8064239631756469,0.1731087225932516
1.35,-0.07877228266808085,0.5714012916823653,0.984946849300512,0.4925252861049321
1.4000000000000001,0.3197531978826837,0.8613810275298504,0.9595894724193818,0.713574565943972
1.4500000000000002,0.6667146044996216,0.9946956384202958,0.7356007133945464,0.7990036521048213
1.5,0.9061602102212897,0.9470983049947441,0.3593453960058931,0.7375346370739756
1.55,0.9994765125141127,0.7272458724243964,-0.09129305576174479,0.5451431097255881
1.6,0.9316151279920258,0.37512437211687777,-0.5230341911589165,0.261235102983329
