x,band_0.429,band_0.456,band_0.487
0.5855855855855856,1.2138760059498552e-06,8.879995277715645e-05,0.0045187953997330825
0.5865865865865866,1.0192873841894733e-06,7.683815585269486e-05,0.004047257927106933
0.5875875875875876,8.549396417747163e-07,6.641369071359624e-05,0.0036208919953620976
0.5885885885885885,7.162930623851722e-07,5.733961619288222e-05,0.0032358377945192543
0.5895895895895896,5.994631878033208e-07,4.9450243214846486e-05,0.002888513487363719
0.5905905905905906,5.011304320448328e-07,4.259891780609453e-05,0.0025756007343796174
0.5915915915915916,4.184615110098596e-07,3.665600952475081e-05,0.0022940303789200684
0.5925925925925926,3.4904124170617805e-07,3.150708953445703e-05,0.002040968365712067
0.5935935935935935,2.9081342755792254e-07,2.7051283354729727e-05,0.0018138019561997364
0.5945945945945946,2.4202969259619377e-07,2.319978413641842e-05,0.0016101262951414752
0.5955955955955956,2.012052587488701e-07,1.9874513131112884e-05,0.001427731374323673
0.5965965965965966,1.6708077826129304e-07,1.700691483833236e-05,0.0012645894312581665
0.5975975975975976,1.385894386713549e-07,1.4536875117409324e-05,0.0011188428133081965
0.5985985985985985,1.148286518447942e-07,1.241175133632093e-05,0.0009887923308411295
0.5995995995995996,9.50357223909596e-08,1.0585504392642414e-05,0.0008728861167383189
0.6006006006006006,7.856696529579626e-08,9.017923178406421e-06,0.0007697090038946589
0.6016016016016016,6.487980872728934e-08,7.673932767952532e-06,0.0006779724272012005
0.6026026026026026,5.3517476521038006e-08,6.522978283570179e-06,0.0005965048519083443
0.6036036036036035,4.409589660565951e-08,5.538477036230406e-06,0.0005242427261928906
0.6046046046046046,3.629252728244956e-08,4.697332146957311e-06,0.00046022195217810163
0.6056056056056056,2.983683347389616e-08,3.979501427846845e-06,0.00040356986655523143
0.6066066066066066,2.450218038738354e-08,3.367615840314799e-06,0.00035349771930041993
0.6076076076076076,2.009894303661061e-08,2.846642352117607e-06,0.00030929363674397377
0.6086086086086087,1.6468657206615767e-08,2.4035864846225076e-06,0.0002703160533993195
0.6096096096096096,1.347906117538077e-08,2.0272302785602053e-06,0.00023598759546702085
0.6106106106106106,1.1019898208975738e-08,1.70790181112684e-06,0.00020578939776441112
0.6116116116116116,8.999367881740865e-09,1.437272771038662e-06,0.00017925583496419337
0.6126126126126126,7.341129954968832e-09,1.2081809423303497e-06,0.00015596964742628784
0.6136136136136137,5.981778160490076e-09,1.0144747637716587e-06,0.00013555744154817106
0.6146146146146146,4.868713032330627e-09,8.508774202598077e-07,0.00011768554441272396
0.6156156156156156,3.958353135283272e-09,7.128681869648038e-07,0.00010205619255304253
0.6166166166166166,3.214632853668869e-09,5.965789879155734e-07,8.840403485657934e-05
0.6176176176176176,2.607742503779333e-09,4.987043496569173e-07,7.649292997296071e-05
0.6186186186186187,2.113073075998745e-09,4.164231291043259e-07,6.611301904967798e-05
0.6196196196196196,1.7103335353901879e-09,3.473305742581871e-07,5.707805517760871e-05
0.6206206206206206,1.3828134340856587e-09,2.8937943844726504e-07,4.922297156570237e-05
0.6216216216216216,1.116767721790652e-09,2.4082901463562357e-07,4.24016711646827e-05
0.6226226226226226,9.009041755938683e-10,2.0020108736440912e-07,3.648502120804217e-05
0.6236236236236237,7.259568888174456e-10,1.6624191736389248e-07,3.135903692162904e-05
0.6246246246246246,5.843318322122918e-10,1.3788947894312607e-07,2.692323945859254e-05
0.6256256256256256,4.698126915569131e-10,1.1424526405640692e-07,2.3089173933853328e-05
0.6266266266266266,3.773170477014634e-10,9.455005049671327e-08,1.9779074252325078e-05
0.6276276276276276,3.026945452004269e-10,7.816310594444168e-08,1.6924662239833415e-05
0.6286286286286287,2.425600345118739e-10,6.454436550342685e-08,1.4466069388271547e-05
0.6296296296296297,1.9415580541223816e-10,5.323917871523179e-08,1.2350870311268211e-05
0.6306306306306306,1.5523798607284043e-10,4.386527362115041e-08,1.0533217768779111e-05
0.6316316316316316,1.2398298925454114e-10,3.610163094066965e-08,8.973069854773062e-06
0.6326326326326326,9.891056672413645e-11,2.9679001496356672e-08,7.635500648527107e-06
0.6336336336336337,7.882060452486831e-11,2.437183522309392e-08,6.490086304753143e-06
0.6346346346346347,6.274127162647948e-11,1.9991420985590727e-08,5.510359199231306e-06
0.6356356356356356,4.988653683281759e-11,1.6380063473713494e-08,4.673323353796989e-06
0.6366366366366366,3.962140566791709e-11,1.3406147085651086e-08,3.9590249369126665e-06
0.6376376376376376,3.143351054638969e-11,1.0959957336371343e-08,3.350172173544337e-06
0.6386386386386387,2.4909922581449656e-11,8.950148295827721e-09,2.831799500961885e-06
0.6396396396396397,1.9718249299306136e-11,7.300760183910129e-09,2.3909712759730695e-06
0.6406406406406406,1.5591245589985986e-11,5.9487048098366336e-09,2.016520774843851e-06
0.6416416416416416,1.2314300745339438e-11,4.841648294658715e-09,1.6988206308160741e-06
0.6426426426426426,9.715276904365855e-12,3.936230681139664e-09,1.429581226931208e-06
0.6436436436436437,7.656267431220625e-12,3.196570814689449e-09,1.201673905164638e-06
0.6446446446446447,6.026920881594725e-12,2.5930124487312115e-09,1.008976168111073e-06
0.6456456456456456,4.739039950146133e-12,2.1010740438089536e-09,8.462363381431352e-07
0.6466466466466466,3.7222173863359464e-12,1.7005703294626596e-09,7.089554026346631e-07
0.6476476476476476,2.920314204876017e-12,1.3748785024339046e-09,5.932840140450092e-07
0.6486486486486487,2.2886211786386426e-12,1.1103260504186446e-09,4.959328319474187e-07
0.6496496496496497,1.7915739050646704e-12,8.956807104987262e-10,4.140945919714474e-07
0.6506506506506506,1.400915781864595e-12,7.217260770192777e-10,3.453764655988111e-07
0.6516516516516516,1.0942229302330328e-12,5.809089361356894e-10,2.877414362403236e-07
0.6526526526526526,8.537212256371187e-13,4.670465854547199e-10,2.394575624058572e-07
0.6536536536536537,6.653387699189631e-13,3.750842509808357e-10,1.990541293780098e-07
0.6546546546546547,5.179478882129141e-13,3.008942866597387e-10,1.6528380786216792e-07
0.6556556556556556,4.0275949392314465e-13,2.411101746406873e-10,1.3709004279176618e-07
0.6566566566566566,3.1283979332271193e-13,1.9298947192434867e-10,1.1357898892670756e-07
0.6576576576576576,2.427250941087494e-13,1.5430080149062477e-10,9.399539313212181e-08
0.6586586586586587,1.8811518327065707e-13,1.2323078929304647e-10,7.770189723015541e-08
