k,delta_phi_deg,freq_ratio_0.03030303_times_2powk,radius_ratio_2powk_over_3
0,8,0.030303030303030304,1.0
1,16,0.06060606060606061,1.2599210498948732
2,32,0.12121212121212122,1.5874010519681994
3,64,0.24242424242424243,2.0
4,128,0.48484848484848486,2.519842099789746
5,256,0.9696969696969697,3.1748021039363987
6,152,1.9393939393939394,4.0
7,304,3.878787878787879,5.039684199579493
8,248,7.757575757575758,6.349604207872797
9,136,15.515151515151516,8.0
10,272,31.03030303030303,10.079368399158986
11,184,62.06060606060606,12.699208415745593
