model,a,b,c,R2,spearman_rho
linear,0.43685870680807376,-0.06575436195689376,,0.004639632723470011,-0.12511175683948864
logistic_quad,0.2500517494798753,-4.281368001277904,4.280327326491138,0.1032711343303655,-0.12511175683948864
