unit,to_meter,to_kilometer,to_mile,to_royal_cubit,to_AU,to_ly
meter,1.0,0.001,0.0006213711922373339,1.9102196752626552,6.684587122268445e-12,1.0570008340246154e-16
kilometer,1000.0,1.0,0.621371192237334,1910.2196752626553,6.684587122268446e-09,1.0570008340246155e-13
mile,1609.344,1.609344,1.0,3074.200573065903,1.075780017769999e-08,1.7010779502325107e-13
royal_cubit,0.5235,0.0005235,0.0003252878191362443,1.0,3.499381358507531e-12,5.5333993661188615e-17
AU,149597870700.0,149597870.7,92955807.27302551,285764795988.5387,1.0,1.581250740982066e-05
ly,9460730472580800.0,9460730472580.8,5878625373183.608,1.8072073491080804e+16,63241.07708426628,1.0
